Instance,"Time, sec",Colors,Color classes
myciel3.col,0.0011001825332641602,4,"[[1, 3, 11], [2, 4, 7, 9], [5, 6, 10], [8]]"
myciel7.col,0.04420180320739746,8,"[[1, 3, 11, 23, 47, 95, 191], [2, 4, 13, 15, 22, 49, 51, 58, 60, 62, 69, 94, 97, 99, 106, 108, 110, 117, 142, 144, 146, 153, 155, 157, 160, 162, 164, 167, 169, 176, 178, 180, 183, 185, 187, 189], [5, 6, 7, 10, 28, 29, 30, 33, 46, 100, 101, 102, 105, 118, 123, 124, 125, 128, 134, 135, 136, 139, 141, 147, 148, 149, 152, 165, 170, 171, 172, 175, 181, 182, 186, 188, 190], [8, 9, 26, 27, 31, 32, 50, 55, 56, 61, 66, 67, 70, 73, 74, 76, 78, 79, 84, 85, 87, 89, 90, 93, 98, 103, 104, 121, 122, 126, 127, 145, 150, 151, 156, 161, 168, 173, 174, 179, 184], [12, 14, 16, 24, 34, 35, 37, 39, 40, 42, 44, 45, 48, 59, 63, 71, 81, 82, 86, 91, 92, 96, 107, 109, 111, 119, 129, 130, 132, 137, 140, 143, 154, 158, 166, 177], [18, 21, 25, 36, 41, 52, 54, 57, 65, 68, 72, 75, 77, 80, 83, 88, 113, 116, 120, 131, 163], [17, 19, 20, 43, 53, 64, 112, 114, 115, 138, 159], [38, 133]]"
school1.col,0.7322211027145386,32,"[[2, 13, 22, 40, 99, 104, 137, 138, 162, 168, 188, 194, 229, 236, 241, 285, 309, 361, 363, 370, 371, 372, 373, 374, 375], [105, 136, 140, 185, 193, 284, 313, 315, 316, 353, 354, 355, 357, 364, 365, 366, 367, 368, 369, 376, 377, 378, 380], [6, 45, 66, 74, 86, 96, 124, 152, 195, 221, 250, 274, 280, 314, 326, 329, 351, 360, 384, 385], [11, 54, 112, 142, 153, 159, 183, 186, 230, 234, 238, 328, 362, 379], [1, 14, 28, 57, 91, 103, 155, 156, 187, 233, 237], [3, 19, 44, 75, 80, 100, 113, 121, 147, 161, 176, 228, 231, 243, 245, 344, 348, 381], [8, 18, 29, 52, 65, 102, 110, 145, 179, 235, 242, 255, 279, 382], [9, 21, 31, 39, 51, 109, 125, 141, 150, 158, 171, 240, 306, 383], [7, 20, 32, 56, 85, 111, 120, 157, 232, 252, 261, 340], [23, 37, 64, 127, 144, 178, 182, 191, 201, 253, 265], [35, 50, 106, 123, 160, 177, 200, 244, 302, 323, 327, 331, 339, 347], [30, 33, 116, 118, 128, 151, 170, 180, 214, 318, 343], [4, 38, 78, 108, 122, 169, 190, 251, 325], [10, 34, 94, 119, 126, 143, 210, 222, 246, 272, 278, 301], [97, 117, 129, 165, 192, 197, 209, 239, 254, 263, 308], [16, 36, 87, 114, 132, 198, 266, 286, 321, 356], [70, 115, 134, 139, 173, 202, 211, 247, 303, 319, 330], [25, 43, 83, 164, 249, 259, 275, 281, 297], [17, 24, 61, 133, 135, 148, 166, 212, 219, 258, 307, 324], [42, 49, 60, 77, 149, 174, 213, 268, 288, 295, 346], [12, 62, 79, 130, 154, 203, 216, 256, 276, 282, 293, 305, 320], [46, 71, 89, 92, 226, 283, 292, 311], [41, 59, 84, 101, 131, 248, 287, 317, 342, 345], [47, 69, 73, 88, 93, 172, 223, 277, 334, 337, 358, 359], [55, 58, 81, 95, 205, 227, 257, 291, 298, 322, 332, 335, 350], [76, 98, 163, 181, 207, 218, 260, 296, 312, 341, 349], [53, 107, 146, 175, 196, 199, 310, 333, 352], [5, 26, 48, 68, 167, 189, 208, 264, 269, 290, 294, 304], [82, 270, 271, 299, 338], [27, 72, 90, 262, 273, 336], [15, 63, 206, 215, 220, 225], [67, 184, 204, 217, 224, 267, 289, 300]]"
school1_nsh.col,0.562799048423767,30,"[[2, 5, 22, 40, 54, 99, 104, 112, 124, 137, 138, 142, 153, 159, 183, 195, 229, 234, 236, 238, 241, 285, 309, 328], [14, 28, 86, 91, 96, 116, 136, 155, 168, 186, 193, 233, 237, 284, 313, 315, 316, 326], [3, 19, 44, 75, 80, 100, 113, 121, 161, 174, 188, 194, 228, 231, 243, 245, 314, 344, 348], [8, 18, 52, 65, 102, 110, 145, 176, 179, 185, 235, 242, 255, 279, 347], [13, 57, 77, 84, 94, 118, 152, 154, 162, 170, 187, 250, 329], [6, 21, 31, 39, 51, 105, 109, 125, 140, 150, 156, 171, 240, 306], [7, 20, 56, 85, 111, 120, 157, 167, 232, 252, 261, 340], [23, 37, 64, 127, 144, 178, 182, 191, 201, 253, 265], [35, 50, 106, 123, 141, 177, 189, 200, 219, 302, 323, 327, 331, 339], [15, 30, 33, 108, 128, 151, 165, 180, 214, 318], [16, 38, 53, 59, 98, 114, 122, 169, 251, 264, 287, 342, 345], [10, 34, 55, 126, 143, 210, 225, 246, 272, 278, 301], [17, 27, 117, 119, 129, 148, 164, 192, 197, 199, 239, 263, 307], [87, 103, 115, 132, 134, 172, 190, 196, 198, 209, 247, 330], [25, 43, 74, 83, 175, 202, 221, 259, 351], [4, 61, 133, 149, 163, 213, 227, 275, 277, 281, 295, 311], [29, 47, 66, 71, 88, 97, 131, 226, 248, 274, 280, 292, 308], [73, 79, 93, 135, 139, 160, 203, 222, 305, 319], [12, 36, 60, 78, 92, 220, 256, 268, 288, 300, 343, 346], [45, 70, 76, 81, 147, 257, 266, 286, 321], [42, 49, 72, 146, 291, 320, 333, 336, 352], [9, 24, 46, 58, 89, 173, 206, 212, 218, 296, 325, 341, 349], [1, 32, 101, 181, 211, 283, 297, 310, 338], [26, 204, 223, 244, 273, 294, 324], [68, 90, 95, 207, 208, 260, 269, 290, 298, 312, 317, 332, 335, 350], [48, 107, 215, 270, 271, 299, 304, 322, 334, 337], [69, 82, 158, 230, 254, 258], [11, 62, 166, 184, 217, 262, 276, 282, 303], [41, 63, 130, 205, 216, 224, 293], [67, 249, 267, 289]]"
anna.col,0.014601349830627441,11,"[[1, 2, 3, 5, 14, 17, 18, 24, 30, 32, 37, 38, 48, 52, 54, 56, 60, 61, 65, 66, 71, 84, 86, 93, 98, 110, 112, 119, 122, 125, 126, 129, 133, 134, 137], [4, 8, 9, 10, 12, 15, 22, 23, 25, 27, 29, 31, 34, 35, 36, 39, 40, 41, 42, 43, 44, 46, 47, 49, 50, 53, 55, 57, 58, 63, 67, 69, 75, 78, 82, 87, 88, 97, 102, 105, 107, 109, 111, 113, 114, 117, 120, 121, 124, 128], [7, 11, 13, 16, 21, 28, 59, 62, 73, 80, 89, 90, 95, 96, 123, 127, 130, 131, 132], [64, 74, 77, 79, 100, 103, 104, 106, 115, 118], [19, 26, 45, 51, 68, 72, 92, 94, 135], [6, 70, 76, 138], [33, 101, 136], [20, 83, 85, 116], [99, 108], [81], [91]]"
miles1000.col,0.11449882984161378,43,"[[3, 22, 27, 47, 51, 56], [5, 17, 34, 36, 72, 76, 106], [49, 87, 88, 95, 119], [48, 59, 61, 120, 121, 128], [4, 12, 60, 62], [8, 9, 23, 31, 35], [21, 33, 68], [16, 18, 91, 103], [26, 32, 92], [28, 98, 104], [37, 43, 84, 124], [40, 50, 74, 107], [11, 66, 80, 112], [15, 42, 55, 65, 123], [1, 29, 63, 126], [14, 41, 54, 64, 81], [13, 44, 77, 85, 99], [10, 108], [71, 82, 100], [102, 115], [45, 117], [75, 90], [83, 105, 122], [2, 79], [109, 127], [7, 96], [57, 78, 113], [67, 69, 97], [73, 93], [111, 114], [20, 70, 125], [19, 24], [30, 110], [38, 39], [89, 94], [101, 116], [53], [52], [6, 25], [46], [58], [86], [118]]"
miles1500.col,0.2257011651992798,73,"[[29, 79], [54, 108], [77, 110], [3, 27], [36, 81, 109], [9, 39, 95], [15, 56, 74], [21, 61, 80], [22, 42, 90, 106], [49, 60, 105], [50, 112, 114], [59, 117], [63, 128], [1, 11, 82], [8, 48], [17, 43], [78, 85], [4, 86, 102], [18, 125], [5, 62], [26, 68], [40, 73], [76, 104], [88, 124], [91], [92], [100], [19], [28, 37], [101], [52, 87], [47, 99], [35, 64], [34, 67], [55, 118, 121], [57], [66], [51, 70], [122], [25, 98], [107], [123], [7, 120], [23, 97], [32, 115], [126], [31, 94], [38, 103], [6, 33], [16, 71], [65, 89], [12, 13], [75], [96], [127], [2], [45, 72], [84], [14, 44], [69, 119], [111], [10], [93], [113], [20], [24], [30], [41], [46], [53], [58], [83], [116]]"
le450_5a.col,0.12399957180023194,11,"[[1, 6, 25, 31, 55, 60, 81, 91, 92, 95, 126, 128, 156, 161, 170, 172, 175, 191, 200, 202, 210, 211, 216, 221, 224, 244, 250, 251, 261, 264, 271, 276, 278, 286, 306, 325, 339, 341, 366, 377, 382, 385, 391, 396, 421, 424, 430, 435, 441], [14, 16, 26, 32, 37, 40, 45, 54, 62, 64, 66, 78, 85, 102, 105, 116, 118, 135, 144, 153, 157, 160, 166, 176, 190, 196, 206, 212, 234, 239, 246, 282, 287, 289, 343, 351, 356, 370, 372, 380, 388, 392, 393, 427], [3, 12, 19, 33, 36, 44, 49, 61, 83, 86, 88, 89, 90, 93, 108, 114, 133, 138, 143, 148, 164, 179, 183, 188, 193, 198, 201, 223, 227, 228, 270, 279, 291, 299, 313, 316, 338, 345, 358, 359, 361, 363, 368, 373, 379, 389, 404, 413, 414, 422, 423, 432, 449], [4, 5, 20, 22, 28, 38, 39, 51, 52, 75, 76, 82, 106, 110, 111, 115, 119, 123, 129, 132, 141, 145, 147, 151, 169, 186, 192, 195, 197, 208, 225, 226, 231, 241, 243, 256, 258, 262, 263, 268, 300, 305, 312, 322, 330, 331, 411, 417, 420, 438, 445, 446], [42, 71, 96, 101, 103, 120, 134, 140, 159, 163, 165, 167, 174, 180, 181, 199, 215, 240, 249, 255, 257, 266, 267, 275, 280, 304, 310, 321, 336, 357, 360, 365, 383, 384, 387, 394, 395, 408, 412, 418, 425, 426, 429, 431], [10, 11, 17, 43, 48, 65, 70, 72, 84, 98, 125, 127, 131, 136, 146, 155, 162, 184, 203, 269, 274, 284, 294, 295, 296, 298, 301, 309, 314, 326, 335, 347, 352, 353, 354, 355, 371, 378, 381, 409, 416, 442, 450], [27, 35, 47, 53, 56, 63, 68, 73, 77, 87, 99, 104, 113, 122, 158, 168, 171, 173, 177, 189, 205, 209, 235, 247, 272, 273, 281, 288, 293, 302, 303, 317, 324, 329, 333, 340, 348, 398, 402, 406, 428, 440], [2, 15, 18, 34, 41, 57, 59, 97, 100, 112, 117, 124, 130, 149, 152, 182, 185, 187, 194, 207, 214, 220, 232, 237, 252, 254, 277, 290, 292, 311, 315, 318, 323, 327, 334, 337, 342, 364, 367, 376, 400, 405, 410, 437, 447], [8, 9, 13, 21, 23, 50, 67, 69, 74, 79, 137, 139, 142, 150, 154, 217, 222, 229, 242, 248, 259, 260, 265, 283, 285, 297, 307, 308, 320, 332, 346, 349, 399, 403, 407, 419, 436, 439, 443], [7, 24, 29, 30, 46, 80, 94, 107, 109, 121, 178, 204, 219, 230, 233, 236, 238, 253, 319, 344, 350, 362, 369, 374, 375, 386, 390, 397, 401, 433, 434, 444], [58, 213, 218, 245, 328, 415, 448]]"
le450_15b.col,0.2391991138458252,18,"[[14, 27, 32, 51, 59, 75, 92, 107, 129, 134, 140, 144, 150, 155, 159, 163, 184, 189, 200, 210, 213, 224, 230, 236, 246, 287, 292, 327, 347, 353, 365, 368, 382, 390, 391, 401, 405, 417, 434, 438, 439, 444, 447], [2, 11, 28, 29, 30, 33, 34, 48, 60, 80, 91, 100, 101, 102, 115, 116, 141, 157, 160, 174, 177, 186, 209, 216, 255, 262, 271, 282, 301, 306, 322, 348, 357, 360, 384, 385, 407, 409, 421], [35, 50, 54, 108, 117, 153, 179, 183, 188, 227, 231, 239, 294, 331, 335, 350, 359, 361, 371, 399, 414, 423, 429], [22, 23, 24, 49, 58, 74, 77, 79, 88, 98, 103, 143, 175, 205, 215, 238, 270, 309, 313, 316, 317, 325, 337, 338, 398, 441], [10, 36, 57, 61, 84, 86, 93, 109, 130, 138, 151, 212, 222, 226, 242, 276, 323, 328, 334, 346, 362, 386, 403, 404, 422, 430], [4, 9, 15, 38, 40, 66, 72, 90, 142, 176, 191, 214, 221, 223, 228, 232, 252, 267, 321, 341, 369, 387, 397, 400, 413, 432, 440], [5, 19, 21, 45, 67, 94, 105, 114, 137, 145, 148, 169, 194, 219, 248, 257, 264, 281, 291, 297, 356, 374, 378, 406, 419, 426, 431], [44, 89, 120, 124, 133, 164, 196, 199, 201, 243, 260, 269, 286, 289, 299, 305, 315, 319, 344, 349, 355, 366, 433, 448], [3, 31, 41, 43, 46, 53, 62, 85, 96, 104, 121, 128, 182, 185, 202, 208, 244, 258, 308, 310, 312, 340, 381, 402, 443], [7, 13, 42, 70, 71, 123, 132, 165, 190, 217, 261, 265, 272, 295, 296, 318, 345, 352, 383, 393, 415, 420, 436], [6, 26, 87, 95, 97, 112, 122, 149, 167, 170, 211, 235, 247, 251, 279, 280, 290, 304, 320, 343, 380, 392, 394, 395, 424, 425], [1, 16, 25, 37, 39, 55, 63, 65, 99, 111, 119, 125, 136, 181, 250, 278, 285, 300, 307, 329, 351, 375, 377, 416], [18, 56, 68, 73, 113, 126, 127, 139, 166, 206, 218, 225, 229, 254, 266, 293, 330, 336, 354, 412, 427, 437, 450], [17, 47, 64, 76, 82, 110, 118, 152, 158, 168, 178, 204, 220, 234, 240, 241, 245, 249, 253, 263, 277, 284, 314, 332, 358, 396, 435, 442], [20, 52, 69, 78, 81, 131, 146, 172, 198, 259, 268, 273, 274, 283, 302, 339, 342, 367, 373, 379, 408, 411, 449], [8, 83, 147, 154, 156, 162, 171, 173, 203, 207, 233, 256, 275, 303, 324, 326, 333, 363, 370, 376, 389, 418, 445], [135, 180, 187, 192, 193, 195, 197, 237, 298, 364, 388, 410, 428], [12, 106, 161, 288, 311, 372, 446]]"
queen11_11.col,0.03720049858093262,15,"[[9, 23, 38, 52, 61, 70, 84, 99, 113], [4, 41, 49, 62, 75, 83, 90, 120], [2, 20, 25, 43, 51, 66, 72, 89, 107, 114], [14, 28, 44, 46, 60, 73, 81, 119], [12, 30, 37, 65, 88, 91, 104, 117], [10, 15, 33, 47, 64, 68, 82, 96, 105, 111], [7, 22, 26, 39, 53, 71, 80, 109, 118], [1, 18, 36, 55, 63, 76, 79, 92], [3, 17, 24, 54, 59, 86, 93, 100, 121], [6, 19, 32, 40, 45, 58, 97, 101, 115], [5, 21, 34, 74, 95, 108, 112], [13, 29, 42, 48, 67, 87, 110, 116], [11, 27, 35, 69, 78, 94, 103], [16, 31, 57, 77, 85, 98, 102], [8, 50, 56, 106]]"
